Type;Record;Author;Year;Journal;Title;Series;Published;Volume;Pages;Date;ShortTitle;Label;Keywords;Abstract;Language;Notes
  Conference Proceedings;98; V. V. Biancki;;; Seasonal dispersesion and protection of ducks in the Kandalaksha Bay. (in Russian);; Moscow;;241-243;1974; Seasonal dispersesion and protection of ducks in the Kandalaksha Bay. (in Russian);3000; White Sea, Ducks, Distribution, Management;;;
  Journal Article;220; V. N. Galkina;1974; Ekologiya. (Ecology); The chemical composition of the dissolving matters in the excrements of fish-eating seabirds. (in Russian);;;5;23-28;1974; The chemical composition of the dissolving matters in the excrements of fish-eating seabirds. (in Russian);2640; Barents Sea, Murman, Bird Impact;;;
  Conference Proceedings;448; A. N. Matrosov;;; Peculiarities in the breeding ecology of the Common Eider on the Kandalaksha skerries, the White Sea. (in Russian);; Moscow;2;85-86;1974; Peculiarities in the breeding ecology of the Common Eider on the Kandalaksha skerries, the White Sea. (in Russian);4640; White Sea, Common Eider, Breeding, Management, Survival;;;
  Journal Article;608; I. P. Tatarinkova;1974; Okhota i okhotnich'e khozyajstvo. (Game and game industry); The gulls and conservational policy. (in Russian);;;4;20-21;1974; The gulls and conservational policy. (in Russian);5430; Barents Sea, Murman, Gulls, Management, Popularized paper;;;
  Book;12; N. V. Anzigitova and V. A. Zubakin;1975;; The individual recognition by nesting Arctic Terns at the Bolshoy Ainov  Island. (in Russian); Voprosy zoopsykhologii, etologii i sravnitelnoy psykhologii. (Problems of zoopsychology, ethology and comparative psychology); Moscow;;77-79;1975; The individual recognition by nesting Arctic Terns at the Bolshoy Ainov  Island. (in Russian);500; Barents Sea, Murman, Arctic Tern, Breeding, Behaviour; Behaviour of Arctic Tern in colonies. Relationship between nesting partners;;
  Book;60; L. O. Belopolski and G. P. Goryajnova;1975;;Some peculiarities in the breeding ecology of Turnstone Arenaria interpres of the Barents, White, and Baltic seas, 1970. (in  Russian); Soobscheniya Pribaltijskoy comissii po izucheniyu migratsij ptits (Reports of Pribaltic commission on the bird migration research);;9;196-205;1975;Some peculiarities in the breeding ecology of Turnstone Arenaria interpres of the Barents, White, and Baltic seas, 1970. (in  Russian);2470; Barents Sea, Murman, White Sea, Waders, Turnstone, Breeding;;;
  Conference Proceedings;99; V. V. Biancki;;; The character of waterbird migration across the White Sea. (in Russian);; Moscow;1;178-180;1975; The character of waterbird migration across the White Sea. (in Russian);3010; White Sea, Alcids, Larids, Geese, Ducks, Movements, Phenology;;;
  Book;100; V. V. Biancki;1975;; Change of bird numbers in the upper part of the Kandalaksha Bay. (in Russian); Kolonialnye gnezdov'ya okolovodnykh ptits i ikh okharana (Colonial waterbirds nesting grounds and their protection); Moscow;;9-11;1975; Change of bird numbers in the upper part of the Kandalaksha Bay. (in Russian);3020; White Sea, Gulls, Waders, Geese, Ducks, Population trend;;;
  Book;116; V. V. Biancki and N. S. Boyko;1975;;Bird ringing on the White sea, 1959-70. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika (Transaction of Kandalaksha state reserve); Murmansk;9;77-99;1975;Bird ringing on the White sea, 1959-70. (in Russian);2210; White Sea, Many Orders, Banding, Movements; Revue and real datas of banding;;
  Book;117; V. V. Biancki and N. S. Boyko;1975;; Autumnn dynamics of seabird migration in inner part of Kandalaksha bay. (in Russian); Soobshchenie Pribaltijskoy Komissii po izucheniyu migratsii ptits (Reports of Pribaltic commission on the bird migration study); Tartu;9;14-24;1975; Autumnn dynamics of seabird migration in inner part of Kandalaksha bay. (in Russian);2280; White sea, Many Orders, Movements;;;
  Book;127; V. V. Biancki, B. N. Karpovich, N. I. Pilipas and I. P. Tatarinkova;1975;; On the diurnal food ration of some North seabirds. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika (Transactions of Kandalaksha State Reserve); Murmansk;9;100-128;1975; On the diurnal food ration of some North seabirds. (in Russian);2340; Barents Sea, Murman, White Sea, Larids, Alcids, Eider, Diet, Physiology, Energetics;;;
  Book;132; V. V. Biancki, V. D. Kokhanov and N. N. Skokova;1975;; The autumn migration of waterbirds of the White sea. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika. (Transactions of Kandalaksha State Reserve); Murmansk;9;3-76;1975; The autumn migration of waterbirds of the White sea. (in Russian);2360; White Sea, Many Orders, Movements;;;
  Journal Article;263; A. N. Golovkin and G. P. Garkavaya;1975; Biologiya morya( Biology of sea); Fertilization, by seabird excreta, of the waters near various types of colonies at the Murmansk coast. (in Russian);;;5;49-57;1975; Fertilization, by seabird excreta, of the waters near various types of colonies at the Murmansk coast. (in Russian);2960; Barents Sea, Murman, Bird impact;;;The English version of this paper was published in Biol. Productivity Plenum Publ. Corp., 1976. pp.345-351
  Book;270; A. N. Golovkin, E. A. Zelickman and V. L. Myasnikov;1975;; Peculiarity of autumn-distribution of nutrient elements, seston, and zooplankton near the bird colonies of the eastern part of Murman. (in Russian); Trudy Kandalakshsakogo gosudarstvennogo zapovednika. (Transactions of Kandalaksha State Reserve); Murmansk;9;194-205;1975; Peculiarity of autumn-distribution of nutrient elements, seston, and zooplankton near the bird colonies of the eastern part of Murman. (in Russian);6490; Barents Sea, Murman, Birds impact, Alcids, Gulls, Habitat;;;
  Book;277; L. N. Gorobets;1975;; The growth of the embryo of Great Black-backed Gulls and Herring Gulls. (in Russian); Uchenye zapiski Permskogo gosudarstvennogo pedagogicheskogo instituta. (Scientific notes of Permski State Pedagogical Institute);;146;99-102;1975; The growth of the embryo of Great Black-backed Gulls and Herring Gulls. (in Russian);5340; Great Black-backed Gull, Herring Gull, Breeding, Biometry;;;
  Conference Proceedings;280; A. I. Grigoriev, I. N. Voynov, T. I. Samoylova, A. S. Gembitski and S. T. Leshkov;;; Marine colonial birds of northern part of the european USSR take part in circulation of some arbo-viruses. (in Russian);; Dushanbe;;168-170;1975; Marine colonial birds of northern part of the european USSR take part in circulation of some arbo-viruses. (in Russian);3450; Diseases, Barents Sea, Murman, Murres, Kittiwakes, Parasites; Antibodies to arbo-viruses found in the blood of Murres and Kittiwakes.;;
  Book;311; V. N. Karpovich;1975;; The Kandalaksha reserve. (in Russian).; Priroda Zapolyar'ya i ee okhrana. (Far North nature and its protection); Murmansk;2;39-45;1975; The Kandalaksha reserve. (in Russian).;3460; Many orders, Habitat, Barents sea, White sea, Management, Murman; General description of the reserve and protected areas, research in it;;
  Book;325; V. N. Karpovich and F. N. Shklyarevich;1975;; The causes and magnitude of egg and chick mortality of Kittiwake in the colonies of the Kharlov Island (Eastern Murman); Kolonialnye gnesdov'ya okolovodnykh ptits i ikh okhrana (Colonial nesting grounds of waterbirds, and their protection); Moscow;;173-174;1975; The causes and magnitude of egg and chick mortality of Kittiwake in the colonies of the Kharlov Island (Eastern Murman);2760; Barents Sea, Murman, Kittiwakes, Breeding, Survival, Predators, Diet, Phenology, Management;;;
  Book;362; V. D. Kokhanov;1975;; The avifana of the Terski coast at White Sea. (in Russian); Estestvennaya sreda i biologicheskie resursy Kraynego Severa. (Environment and biological resourses of the Far North); Moscow;;28-32;1975; The avifana of the Terski coast at White Sea. (in Russian);3940; White Sea, Common Eider, Steller's Eider, Distribution;;;
  Conference Proceedings;458; Y. N. Mineev;;; Winter migration and moulting grounds of the waterbirds at the Bolshezemelskaya tundra. (in Russian);;;1;215-217;1975; Winter migration and moulting grounds of the waterbirds at the Bolshezemelskaya tundra. (in Russian);4720; Barents Sea, Nenets District, Geese, Movements;;;
  Conference Proceedings;609; I. P. Tatarinkova;;; The influence of lager gulls on the distribution of some colonial birds. (in Russian);; Moscow;;24-25;1975; The influence of lager gulls on the distribution of some colonial birds. (in Russian);5440; Barents Sea, Murman, Alcids, Eider, Herring Gull, Great Black-backed Gull, Predators, Breeding;;;
  Book;610; I. P. Tatarinkova;1975;; The morphology (body mass and biometry of nesting) of gulls(Larus marinus L. and L. a. argentatus Pontopp) at the Ainov islands. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika. (Transactions of the Kandalaksha State Reserve); Murmansk;9;171-185;1975; The morphology (body mass and biometry of nesting) of gulls(Larus marinus L. and L. a. argentatus Pontopp) at the Ainov islands. (in Russian);5450; Barents Sea, Murman, Great Black-backed Gull, Herring Gull, Biometry;;;
  Book;632; I. P. Tatarinkova and R. G. Chemyakin;1975;; Addition to the bird fauna of the Ainov Islands. (in Russian); Estestvennaya sreda i biologicheskie  resursy  Kraynego  Severa. (Environment and biological resources of the Far North); Leningrad;;33-37;1975; Addition to the bird fauna of the Ainov Islands. (in Russian);5700; Barents sea, Murman, Many orders, Distribution;;;
  Journal Article;724; V. A. Zubakin;1975; Zoologicheski zhurnal. (Zoological journal); An index of nesting density of some gulls, and the method of counting. (in Russian);;;54;1386-1389;1975; An index of nesting density of some gulls, and the method of counting. (in Russian);4330; Gulls, Methodology;;;
  Conference Proceedings;733; L. Y. Zykova and I. V. Krasts;;; Acoustic behaviour and signalization of guillemots and gulls. (in Russian);; Moscow;2;169-171;1975; Acoustic behaviour and signalization of guillemots and gulls. (in Russian);4240; Barents Sea, Murman, Behaviour, Murres, Gulls;;;
  Conference Proceedings;53; L. O. Belopolski and L. N. Gorobets;;; The dynamics of egg temperature during natural incubation by Eiders nesting in the at Seven Island region (Barents Sea). (in Russian);; Vilnus;;22-23;1976; The dynamics of egg temperature during natural incubation by Eiders nesting in the at Seven Island region (Barents Sea). (in Russian);2860; Barents Sea, Murman, Eider, Breeding, Physiology;;;
  Book;101; V. V. Biancki;1976;; Eider trap with usage of handle bird. (in Russian); Koltsevanie i izuchenie migratsij ptits fauny SSSR (Ringing and study of bird migration of USSR fauna).; Moscow;;150-152;1976; Eider trap with usage of handle bird. (in Russian);3030; Eider, Methodology;;;
  Book;102; V. V. Biancki;1976;; Catching of Common Eiders by means of standing nets. (in Russian); Koltsevanie i izuchenie migratsij ptits fauny SSSR.(Ringing and study of bird migrations of USSR fauna); Moscow;;152-153;1976; Catching of Common Eiders by means of standing nets. (in Russian);3040; White Sea, Common Eider, Methodology;;;
  Conference Proceedings;135; V. V. Biancki, L. V. Zazulina, G. A. Kokorovets and I. I. Novikova;;; (både unger og voksne) Time-table study of duck brood behaviour. (in Russian);; Vilnus;;28-30;1976; (både unger og voksne) Time-table study of duck brood behaviour. (in Russian);2320; White sea, Ducks, Behavior;;;
  Book;144; A. Y. Bondarev, A. V. Denisova, A. A. Kishchinski and N. I. Ryazhenov;1976;; Organochloride pestisides in tissues of some animal species. (in Russian); Nauchnye osnovy okhrany prirody. (Scientific backgrounds of nature protection); Moscow;4;110-117;1976; Organochloride pestisides in tissues of some animal species. (in Russian);3130; Common Eider, Pollutants;;;
  Conference Proceedings;147; N. S. Boyko;;; Moulting and age related plumage of the Common Eider. (in Russian);; Vilnus;;35-37;1976; Moulting and age related plumage of the Common Eider. (in Russian);3110; Common Eider, Moult, Biometry;;;
  Book;222; G. P. Garkavaya, V. N. Galkina and A. N. Golovkin;1976;; Metabolites of mass sea organisms as the source of nutrient elements in the seashore zone. (in Russian); Biologiya Barentseva i Belogo morey. (Biology of Barents and White Seas); Apatity;;12-18;1976; Metabolites of mass sea organisms as the source of nutrient elements in the seashore zone. (in Russian);6500; Barents Sea, Murman, White Sea, Birds impact;;;
  Conference Proceedings;363; V. D. Kokhanov;;; Summer migration of the White Sea waders. (in Russian);; Vilnus;;122-124;1976; Summer migration of the White Sea waders. (in Russian);4150; White Sea, Waders, Movements;;;
  Conference Proceedings;459; Y. N. Mineev;;; The distribution and number of Swans of the Bolshezemelskaya tundra and the Yugorski Peninsula. (in Russian);; Petrozavodsk;;187-189;1976; The distribution and number of Swans of the Bolshezemelskaya tundra and the Yugorski Peninsula. (in Russian);4730; Barents Sea, Nenets District, Swans, Distribution, Population size;;;
  Conference Proceedings;566; F. N. Shklyarevich;;; The sex-ratio of the Common Eider, and differences in the mortality rate in relation to sex. (in Russian);; Vilnus;;273;1976; The sex-ratio of the Common Eider, and differences in the mortality rate in relation to sex. (in Russian);6260; Barents Sea, Murman, Common Eider, Distribution, Survival, Population trends;;;
  Conference Proceedings;651; P. S. Tomkovich and I. N. Dobrynina;;; The bird migration in spring over the White Sea. (in Russian);; Vilnus;;259-261;1976; The bird migration in spring over the White Sea. (in Russian);5800; White Sea, Many Orders, Movements;;;
  Book;732; N. E. Zubtsovski and V. K. Ryabitsev;1976;; New data on birds of the Kanin Peninsula. (in Russian); Ornitologiya. (Ornithology); Moscow;12;228-231;1976; New data on birds of the Kanin Peninsula. (in Russian);3310; White Sea, Nenets district, Common Eider, King Eider, Steller's Eider, Distribution, Population trends, Movements;;;
  Book;61; L. O. Belopolski, G. P. Goryajnova, N. I. Milovanova, I. A. Petrova and N. I. Polonik;1977;; Peculiarities in the breeding of Arctic Tern of the Barents, White and Baltic seas. (in Russian); Ornitologiya. (Ornithology); Moscow;13;95-99;1977; Peculiarities in the breeding of Arctic Tern of the Barents, White and Baltic seas. (in Russian);2270; Barents Sea, Murman, White Sea, Arctic tern, Breeding;;;
  Book;136; V. V. Bianki;1977;; Gulls, shorebirds and alcids of the Kandalaksha Bay;; Jerusalem;;250;1977; Gulls, shorebirds and alcids of the Kandalaksha Bay;3990; White Sea, Gulls, Waders, Alcids, Distribution, Population size, Breeding, Movements, Moult;;;
  Journal Article;143; L. B. Bogdanov;1977; Priroda. (Nature); How does guillemot eggs inherit their colour? (in Russian);;;;80-88;1977; How does guillemot eggs inherit their colour? (in Russian);6550; Barents Sea, Murre, Breeding, Genetics;;;
  Conference Proceedings;148; N. S. Boyko;;; Morpho-physiological characteristics of the Common Eider of the White Sea. (in Russian);; Kiev;1;122-123;1977; Morpho-physiological characteristics of the Common Eider of the White Sea. (in Russian);3120; White Sea, Common Eider, Biometry, Physiology;;;
  Book;149; N. S. Boyko;1977;; Ekologiya i prakticheskoe znachenie seroy vorony v Murmanskoy oblasti. (in Russian). (Ecology and practical significance  of Hooded Crow in the Murmansk region).;; Kandalaksha;;16;1977; Ekologiya i prakticheskoe znachenie seroy vorony v Murmanskoy oblasti. (in Russian). (Ecology and practical significance  of Hooded Crow in the Murmansk region).;4020; White Sea, Common Eider, Predators;;;
  Journal Article;221; V. N. Galkina;1977; Ekologiya. (Ecology); The influence of dissolving organic compounds in the excrements of marine colonial birds upon phytoplankton photosynthesis. (in Russian);;;5;77-82;1977; The influence of dissolving organic compounds in the excrements of marine colonial birds upon phytoplankton photosynthesis. (in Russian);2630; Barents Sea, Murman, Bird Impact;;;
  Book;364; V. D. Kokhanov;1977;; The moulting of males of diving ducks of the White Sea. (in Russian); Fauna i ekologiya guseobraznykh ptits. (Fauna and ecology of Anseriformes); Moscow;;5-7;1977; The moulting of males of diving ducks of the White Sea. (in Russian);3950; White Sea, Common eider, King Eider, Steller's Eider, Moult, Distribution, Population size, Phenology;;;
  Book;516; S. A. Podlipaev and A. N. Golovkin;1977;; The role of colonial seabirds (of the Murman) in the dispersion of fish helmints with respect to nature conservation. (in Russian); Nauchnye osnovy okhrany prirody. (Scientific backgrounds of nature conservation); Moscow;5;140-146;1977; The role of colonial seabirds (of the Murman) in the dispersion of fish helmints with respect to nature conservation. (in Russian);5050; Barents Sea, Murman, Gulls, Alcids, Parasites, Management;;;
  Conference Proceedings;567; F. N. Shklyarevich;;; The changes in the number of kittiwakes and guillemots in the colonies at the Kharlov Island (Seven Islands, Eastern Murman). (in Russian);; Kiev;2;344-345;1977; The changes in the number of kittiwakes and guillemots in the colonies at the Kharlov Island (Seven Islands, Eastern Murman). (in Russian);6270; Barents Sea, Murman, Kittiwake, Murres, Population trends;;;
  Conference Proceedings;611; I. P. Tatarinkova;;; The behaviour of Black Guillemot in the latter part of the nesting season. (in Russian);; Kiev;2;41;1977; The behaviour of Black Guillemot in the latter part of the nesting season. (in Russian);5460; Barents Sea, Murman, Black Guillemot, Breeding, Behaviour, Phenology;;;
  Journal Article;612; I. P. Tatarinkova;1977; Zoologicheski zhurnal. (Zoological journal); Differences in external measurments and body mass of Calidris maritima maritima (Charadriiformes, Charadriidae) related to sex, age, and season. (in Russian);;;56;1735-1736;1977; Differences in external measurments and body mass of Calidris maritima maritima (Charadriiformes, Charadriidae) related to sex, age, and season. (in Russian);5470; Barents Sea, Murman, Purple Sandpiper, Biometry;;;
  Book;725; V. A. Zubakin;1977;; The necessity to include some Larid species into the Red Data Book of the USSR. (in Russian); Redkie zhivotnye i ikh okhrana v SSSR (Rare animals and their protection in the USSR); Moscow;;77-80;1977; The necessity to include some Larid species into the Red Data Book of the USSR. (in Russian);2670; White Sea, Lesser Black-backed Gull, Management, Red list species;;;
  Book;3;;1978;;Krasnaya kniga SSSR. Chast 2. Ptitsy. (in Russian). (Red data book of USSR. Part 2. Birds);; Moscow;;87-149;1978;Krasnaya kniga SSSR. Chast 2. Ptitsy. (in Russian). (Red data book of USSR. Part 2. Birds);6560; Red list species, Barnacle Goose, Distribution, Management;;;
  Conference Proceedings;49; L. O. Belopolski, V. N. Babaryka, L. A. Bugaev and e. al;;;Change in the marine avifauna composition also numbers on the Georges Bank, 1976. (in Russian);; Alma-Ata;1;83-85;1978;Change in the marine avifauna composition also numbers on the Georges Bank, 1976. (in Russian);2420; Atlantic, Alcids, Larids, Procellariids, Distribution, Foraging;;;
  Conference Proceedings;103; V. V. Biancki;;; Some peculiarities in the migration of ducks in the Kandalaksha Bay.(in Russian);; Alma-Ata;2;17-18;1978; Some peculiarities in the migration of ducks in the Kandalaksha Bay.(in Russian);2190; White sea, Ducks, Movements;;;
  Conference Proceedings;568; F. N. Shklyarevich;;; The bird migration through the Seven Islands (Eastern Murman). (in Russian);; Alma-Ata;1;168-169;1978; The bird migration through the Seven Islands (Eastern Murman). (in Russian);6280; Barents Sea, Murman, Many orders, Movements;;;
  Conference Proceedings;613; I. P. Tatarinkova;;; Bird migration over the Ainov Islands (Western Murman).;; Alma-Ata;1;166-167;1978; Bird migration over the Ainov Islands (Western Murman).;5480; Barents Sea, Murman, Many orders, Movements;;;
  Journal Article;639; I. P. Tatarinkova and F. N. Shklyarevich;1978; Zoologicheski zhurnal. (Zoological journal); Head length as an index of sex identification in gulls. (in Russian);;;57;1446-1447;1978; Head length as an index of sex identification in gulls. (in Russian);5710; Barents Sea, Murman, Great Black-backed Gull, Herring Gull, Kittiwake, Biometry;;;
  Book;15; T. B. Ardamatskaya;1979;; The Common Eider of the Black sea. (in Russian); Ecologia i morphologia gag v SSSR (Ecology and morphology of Eiders in the USSR); Moscow;;34-37;1979; The Common Eider of the Black sea. (in Russian);2450; Common Eider, Breeding, Movement; Datas on Eider nesting in Black sea;;
  Journal Article;47; L. O. Belopolski;1979; Doklady Akademii Nauk SSSR (Reports of USSR Academy of Science); Factors determining the mass concentration of seabirds in the open sea, on the seashore and islands. (in Russian);;;249;43-45;1979; Factors determining the mass concentration of seabirds in the open sea, on the seashore and islands. (in Russian);2240; Barents Sea, Alcids, Larids, Distribution, Habitat, Diet, Foraging, Predators;;;
  Book;119; V. V. Biancki and N. S. Boyko;1979;; Dimensions and body mass of White sea Common Eider. (in Russian); Ecologiya i morphologiya gag v SSSR. (Ecology and morphology of Eiders in the USSR); Moscow;;81-90;1979; Dimensions and body mass of White sea Common Eider. (in Russian);2480; White sea, Common Eider, Physiology, Biometry;During the incubation Eiders loose 37% of body mass;;
  Book;118; V. V. Biancki, N. S. Boyko, E. A. Ninburg and G. A. Shklyarevitch;1979;; Feeding of the Common Eider of the White Sea. (in Russian); Ecologiya i morphologiya gag v SSSR (Ecology  and morphology of Eiders in the USSR); Moscow;;126-170;1979; Feeding of the Common Eider of the White Sea. (in Russian);2310; White Sea, Common Eider, Diet, Foraging, Prey stocks;;;
  Book;129; V. V. Biancki, N. A. Kel'ina and A. I. Matrosov;1979;; Hatching dates of the Common Eider in the upper part of the Kandalasha Bay, and different discovering-methods. (in Russian); Ecologiya i morfologiya gag v SSSR. (Ecology and morphology of Eider in the USSR); Moscow;;91-98;1979; Hatching dates of the Common Eider in the upper part of the Kandalasha Bay, and different discovering-methods. (in Russian);2350; White Sea, Common Eider, Breeding, Methodology;;;
  Book;262; A. N. Golovkin and I. V. Churbanova;1979;; Evaluation of the mussel stock in the littoral of the eastern part of Murman as the food resource of the Eider. (in Russian); Ecologiya i morphologiya gag v SSSR (Ecology and morphology of Eiders in the USSR); Moscow;;179-189;1979; Evaluation of the mussel stock in the littoral of the eastern part of Murman as the food resource of the Eider. (in Russian);2990; Barents Sea, Murman, Common Eider, Prey stocks;;;
  Book;278; L. N. Gorobets;1979;; The temperature conditions of incubation of the Black-backed Gull and Kittiwake. (in Russian); Ornitologiya. (Ornithology); Moscow;14;210-214;1979; The temperature conditions of incubation of the Black-backed Gull and Kittiwake. (in Russian);5350; Barents Sea, Murman, Black-backed Gull, Kittiwake, Breeding, Physiology;;;
  Book;312; V. N. Karpovich;1979;; Changes in the number of Common Eider in Kandalaksha Bay, and their possible relationship with population dynamics of the Eider in the nort and north-western part of Europe. (in Russian); Ecologia i morphologia gag v SSSR (Ecology and morphology of Eiders in the USSR); Moscow;;46-60;1979; Changes in the number of Common Eider in Kandalaksha Bay, and their possible relationship with population dynamics of the Eider in the nort and north-western part of Europe. (in Russian);2720; White sea, Common Eider, Population trend, Distribution, Breeding, Movements, Habitat;;;
  Book;318; V. N. Karpovich and A. A. Kishchinski;1979;; Bibliography on the Eiders of the USSR. (in Russian); Ecologia i morphologia gag v SSSR. (Ecology and morphology of Eiders in the USSR); Moscow;;217-255;1979; Bibliography on the Eiders of the USSR. (in Russian);2740; Barents Sea, White Sea, Eider, Bibliography;;;
  Book;365; V. D. Kokhanov;1979;; Steller's Eider Polysticta stelleri (Pall.) of the Murman and the White Sea. (in Russian); Ekologiya i morfologiya gag v SSSR. (Ecology and morphology of Eiders in the USSR); Moscow;;208-216;1979; Steller's Eider Polysticta stelleri (Pall.) of the Murman and the White Sea. (in Russian);3960; Barents Sea, Murman, White Sea, Steller's Eider, Population size, Breeding, Distribution, Moult;;;
  Book;366; V. D. Kokhanov;1979;; Some factors influencing the number of Common Eiders in the region of the Veliki island (Kandalaksha bay). (in Russian); Ekologiya i morfologiya gag v SSSR. (Ecology and morphology of Eiders in the USSR); Moscow;;68-72;1979; Some factors influencing the number of Common Eiders in the region of the Veliki island (Kandalaksha bay). (in Russian);3970; White Sea, Common Eider, Population size, Predators, Climate;;;
  Book;431; V. G. Kulachkova;1979;; Mortality of the Common Eider caused by helminths in the upper part of the Kandalaksha Bay. (in Russian); Ekologiya i morfologiya gag v SSSR. (Ecology and morphology of Eiders in the USSR); Moscow;;119-125;1979; Mortality of the Common Eider caused by helminths in the upper part of the Kandalaksha Bay. (in Russian);4550; Common Eider, White Sea, Survival, Parasites;;;
  Book;433; E. V. Kumari;1979;; New research on the ecology of the Common Eider. (in Russian); Ecologiya i morfologiya gag v SSSR. (Ecology and morphology of Eiders in the USSR); Moscow;;13-23;1979; New research on the ecology of the Common Eider. (in Russian);4560; Common Eider, Bibliograpy;;;
  Book;519; L. V. Polishchuk, G. P. Levin, E. A. Ninburg and S. V. Anshukov;1979;; The caloric content of musseles (Mytilus edulis) in the White Sea, and the diurnal energy consumption by the Common Eider. (in Russian); Ecologiya i morfologiya gag v SSSR. (Ecology  and morphology of Eiders in the USSR); Moscow;;190-193;1979; The caloric content of musseles (Mytilus edulis) in the White Sea, and the diurnal energy consumption by the Common Eider. (in Russian);5070; White Sea, Common Eider, Diet, Energetics;;;
  Book;569; F. N. Shklyarevich;1979;; Wintering of the Common Eider on the White Sea. (in Russian); Ecologiya i morfologiya gag v SSSR.  (Ecology and morphology of Eiders in the USSR); Moscow;;61-67;1979; Wintering of the Common Eider on the White Sea. (in Russian);6290; White Sea, Common Eider, Distribution, Population status, Diet, Movements;;;
  Book;571; F. N. Shklyarevich and V. F. Nikulin;1979;; A field method of sex determination of one day old ducklings of the Common Eider, and the sex-ratio in broods.; Ekologiya i morfologiya gag v SSSR. (Ecology and morphology of Eiders in the USSR); Moscow;;106-112;1979; A field method of sex determination of one day old ducklings of the Common Eider, and the sex-ratio in broods.;6320; Barents Sea, Murman, Common Eider, Breeding, Biometry;;;
  Book;614; I. P. Tatarinkova;1979;; The number of the Eider at the Ainov Islands in relation to weather conditions. (in Russian); Biologicheskie  problemy Severa. (Biological problems of the North); Apatity;;146-147;1979; The number of the Eider at the Ainov Islands in relation to weather conditions. (in Russian);5490; Barents Sea, Murman, Common Eider, Population trend, Climate;;;
  Book;615; I. P. Tatarinkova;1979;; The protection of nest and brood by the Common Eider from predation by larger gulls. (in Russian); Ekologiya i morfologiya gag v SSSR. (Ecology and morphology of Eiders in the USSR); Moscow;;113-118;1979; The protection of nest and brood by the Common Eider from predation by larger gulls. (in Russian);5500; Barents Sea, Murman, Common Eider, Breeding, Predators, Management;;;
  Book;616; I. P. Tatarinkova;1979;; A method to discover the incubation stage of Eider eggs: estimation of the correlation between weight and dimension. (in Russian); Ekologiya i morfologiya gag v SSSR. (Ecology and morphology of Eiders in the USSR); Moscow;;99-105;1979; A method to discover the incubation stage of Eider eggs: estimation of the correlation between weight and dimension. (in Russian);5510; Barents Sea, Murman, Common Eider, Breeding, Methodology, Management, Sampling design;;;
  Book;635; I. P. Tatarinkova, M. V. Gorlach and T. I. Pismennaya;1979;; Feeding by the Eider during springtime at the Ainov Islands. (in Russian); Ekologiya i morfologiya gag v SSSR. (Ecology and morphology of Eiders in  the USSR); Moscow;;171-178;1979; Feeding by the Eider during springtime at the Ainov Islands. (in Russian);5650; Barents Sea, Murman, Common Eider, Diet, Behaviour, Phenology;;;
  Book;638; I. P. Tatarinkova and T. D. Paneva;1979;; Body mass and external dimensions of the Common Eider at the Ainov Islands. (in Russian); Ekologiya i morfologiya gag v SSSR. (Ecology and morphology of Eiders in the USSR); Moscow;;73-80;1979; Body mass and external dimensions of the Common Eider at the Ainov Islands. (in Russian);5680; Barents Sea, Murman, Common Eider, Biometry;;;
  Conference Proceedings;643; A. V. Tikhonov and S. Y. Fokin;;; The influence of ecological factors on the feeding behaviour of Alcid chicks. (in Russian);; Samarkand;;206-209;1979; The influence of ecological factors on the feeding behaviour of Alcid chicks. (in Russian);5750; Barents sea, Murman, Alcids, Breeding, Foraging, Behaviour;;;
  Book;688; S. M. Uspenski;1979;;" Eiders of the USSR; status of the knowledge and  some tasks for future investigations. (in Russian)"; Ecologiya i morfologiya gag v SSSR. (Ecology and  morphology of the Eiders in the USSR); Moscow;;5-12;1979;" Eiders of the USSR; status of the knowledge and  some tasks for future investigations. (in Russian)";5970; Barents  sea, White sea, Eiders, Distribution, Habitat, Population size, Predators, Foraging;;;
  Book;13; N. V. Anzigitova, V. A. Zubakin and I. P. Tatarinkova;1980;; Ecological and ethological aspects of nesting of the Arctic Tern. (in Russian); Ecologia ptits morskikh poberezhij (Ecology of seashore birds); Moscow;;27-45;1980; Ecological and ethological aspects of nesting of the Arctic Tern. (in Russian);2370; Barents Sea, Murman, Arctic Tern, Breeding, Behaviour;;;
  Book;62; S. V. P. Belopolski L. O.;1980;; Birds of seas and oceans. (in Russian);; Moscow;;185;1980; Birds of seas and oceans. (in Russian);2260; Barents Sea, White Sea, Many Orders, Distribution, Breeding, Foraging;;;
  Journal Article;50; L. O. Belopolski, V. N. Babaryka, L. A. Bugaev and e. al;1980; Ekologiya. (Ecology); The dynamics of the seabird abundance on Georges Bank. (in Russian);;;2;60-66;1980; The dynamics of the seabird abundance on Georges Bank. (in Russian);2430; Atlantic, Many Orders, Population trend, Distribution, Foraging;;;
  Book;104; V. V. Biancki;1980;; The nesting of Arctic Skua of the White Sea. (in Russian); Ornitologiya. (Ornithology); Moscow;15;193-194;1980; The nesting of Arctic Skua of the White Sea. (in Russian);2380; White Sea, Parasitic Jaeger, Breeding;;;
